CIPTitle,INSTNM,Total,Pct,Denom
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",Worcester Polytechnic Institute,0,0,6
"African Languages, Literatures, and Linguistics.",University of Wisconsin-Madison,1,0.058823529411764705,17
African Studies.,Brown University,3,0.6,5
African Studies.,Howard University,34,0.8292682926829268,41
African-American/Black Studies.,Clark Atlanta University,6,0.75,8
African-American/Black Studies.,Harvard University,16,0.5925925925925926,27
African-American/Black Studies.,Indiana University-Bloomington,5,0.7142857142857143,7
African-American/Black Studies.,Michigan State University,22,0.8461538461538461,26
African-American/Black Studies.,Northwestern University,11,0.6875,16
African-American/Black Studies.,Temple University,25,0.7575757575757576,33
African-American/Black Studies.,The University of Texas at Austin,1,1,1
African-American/Black Studies.,University of California-Berkeley,15,0.6818181818181818,22
African-American/Black Studies.,University of Massachusetts-Amherst,20,0.6451612903225806,31
African-American/Black Studies.,University of Pennsylvania,1,0.25,4
African-American/Black Studies.,University of Wisconsin-Milwaukee,3,0.75,4
African-American/Black Studies.,Yale University,9,0.42857142857142855,21
Agricultural and Extension Education Services.,Louisiana State University and Agricultural & Mechanical College,1,0.5,2
Agricultural and Extension Education Services.,North Carolina State University at Raleigh,0,0,15
Agricultural and Extension Education Services.,Pennsylvania State University-Main Campus,1,0.2,5
Agricultural and Extension Education Services.,Purdue University-Main Campus,1,0.08333333333333333,12
Agricultural and Extension Education Services.,Texas Tech University,0,0,20
Agricultural and Food Products Processing.,Kansas State University,1,0.058823529411764705,17
Agricultural and Food Products Processing.,North Dakota State University-Main Campus,0,0,4
Agricultural and Horticultural Plant Breeding.,Cornell University,0,0,40
Agricultural and Horticultural Plant Breeding.,Iowa State University,0,0,38
Agricultural and Horticultural Plant Breeding.,Texas A & M University-College Station,0,0,50
Agricultural and Horticultural Plant Breeding.,University of Georgia,0,0,22
Agricultural Animal Breeding.,Iowa State University,0,0,12
Agricultural Animal Breeding.,Oklahoma State University-Main Campus,0,0,2
Agricultural Animal Breeding.,Texas A & M University-College Station,1,0.06666666666666667,15
"Agricultural Business and Management, General.",Texas A & M University-College Station,0,0,2
Agricultural Economics.,Clemson University,0,0,11
Agricultural Economics.,Colorado State University-Fort Collins,0,0,23
Agricultural Economics.,Cornell University,0,0,75
Agricultural Economics.,Kansas State University,2,0.0625,32
Agricultural Economics.,Louisiana State University and Agricultural & Mechanical College,1,0.030303030303030304,33
Agricultural Economics.,Michigan State University,1,0.016666666666666666,60
Agricultural Economics.,Ohio State University-Main Campus,3,0.029411764705882353,102
Agricultural Economics.,Oklahoma State University-Main Campus,1,0.01818181818181818,55
Agricultural Economics.,Oregon State University,0,0,5
Agricultural Economics.,Pennsylvania State University-Main Campus,0,0,16
Agricultural Economics.,Purdue University-Main Campus,2,0.025974025974025976,77
Agricultural Economics.,Texas A & M University-College Station,2,0.022222222222222223,90
Agricultural Economics.,Texas Tech University,0,0,34
Agricultural Economics.,University of California-Berkeley,0,0,110
Agricultural Economics.,University of California-Davis,1,0.012345679012345678,81
Agricultural Economics.,University of Connecticut,0,0,26
Agricultural Economics.,University of Florida,5,0.1,50
Agricultural Economics.,University of Georgia,1,0.023809523809523808,42
Agricultural Economics.,University of Illinois at Urbana-Champaign,1,0.019230769230769232,52
Agricultural Economics.,University of Kentucky,0,0,27
Agricultural Economics.,University of Maryland-College Park,0,0,65
Agricultural Economics.,University of Massachusetts-Amherst,0,0,5
Agricultural Economics.,University of Minnesota-Twin Cities,0,0,7
Agricultural Economics.,University of Missouri-Columbia,0,0,40
Agricultural Economics.,University of Nebraska-Lincoln,3,0.13043478260869565,23
Agricultural Economics.,University of Nevada-Reno,0,0,4
Agricultural Economics.,University of Wisconsin-Madison,0,0,42
Agricultural Economics.,Washington State University,0,0,6
Agricultural Engineering.,Clemson University,0,0,6
Agricultural Engineering.,Colorado State University-Fort Collins,0,0,2
Agricultural Engineering.,Cornell University,1,0.014925373134328358,67
Agricultural Engineering.,Iowa State University,1,0.01694915254237288,59
Agricultural Engineering.,Kansas State University,2,0.08333333333333333,24
Agricultural Engineering.,Michigan State University,0,0,37
Agricultural Engineering.,North Carolina State University at Raleigh,0,0,46
Agricultural Engineering.,North Dakota State University-Main Campus,1,0.1111111111111111,9
Agricultural Engineering.,Ohio State University-Main Campus,1,0.03125,32
Agricultural Engineering.,Oklahoma State University-Main Campus,0,0,50
Agricultural Engineering.,Oregon State University,0,0,14
Agricultural Engineering.,Pennsylvania State University-Main Campus,2,0.0625,32
Agricultural Engineering.,Purdue University-Main Campus,6,0.05309734513274336,113
Agricultural Engineering.,South Dakota State University,0,0,12
Agricultural Engineering.,Texas A & M University-College Station,3,0.06666666666666667,45
Agricultural Engineering.,The University of Tennessee-Knoxville,0,0,7
Agricultural Engineering.,University of Arizona,0,0,27
Agricultural Engineering.,University of California-Davis,0,0,40
Agricultural Engineering.,University of Florida,0,0,93
Agricultural Engineering.,University of Georgia,2,0.05555555555555555,36
Agricultural Engineering.,University of Hawaii at Manoa,1,0.016666666666666666,60
Agricultural Engineering.,University of Illinois at Urbana-Champaign,0,0,41
Agricultural Engineering.,University of Kentucky,1,0.0625,16
Agricultural Engineering.,University of Maryland-College Park,1,1,1
Agricultural Engineering.,University of Minnesota-Twin Cities,0,0,25
Agricultural Engineering.,University of Missouri-Columbia,0,0,16
Agricultural Engineering.,University of Wisconsin-Madison,0,0,26
Agricultural Engineering.,Utah State University,0,0,16
Agricultural Engineering.,Virginia Polytechnic Institute and State University,1,0.019230769230769232,52
Agricultural Engineering.,Washington State University,0,0,82
Agricultural Teacher Education.,Iowa State University,1,0.0625,16
Agricultural Teacher Education.,Michigan State University,1,0.5,2
Agricultural Teacher Education.,Ohio State University-Main Campus,0,0,23
Agricultural Teacher Education.,Oklahoma State University-Main Campus,1,0.04,25
Agricultural Teacher Education.,Pennsylvania State University-Main Campus,0,0,9
Agricultural Teacher Education.,SUNY at Albany,0,0,8
Agricultural Teacher Education.,Texas A & M University-College Station,10,0.11764705882352941,85
Agricultural Teacher Education.,Texas Tech University,4,0.11764705882352941,34
Agricultural Teacher Education.,University of Florida,6,0.10909090909090909,55
Agricultural Teacher Education.,University of Missouri-Columbia,0,0,19
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Alabama A & M University,9,0.42857142857142855,21
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Pennsylvania State University-Main Campus,0,0,2
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",University of California-Berkeley,0,0,1
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",University of California-Davis,0,0,48
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Utah State University,0,0,2
"Agriculture, General.",Mississippi State University,0,0,17
"Agriculture, General.",Southern Illinois University-Carbondale,0,0,26
"Agriculture, General.",The University of Tennessee-Knoxville,2,0.044444444444444446,45
"Agriculture, General.",University of Maine,0,0,1
"Agriculture, General.",University of Maryland-College Park,0,0,15
"Agriculture, General.",West Texas A & M University,0,0,21
"Agriculture, General.",West Virginia University,1,0.023809523809523808,42
Agroecology and Sustainable Agriculture.,Iowa State University,2,0.09523809523809523,21
Agroecology and Sustainable Agriculture.,Louisiana State University and Agricultural & Mechanical College,0,0,18
Agroecology and Sustainable Agriculture.,Mississippi State University,3,0.06976744186046512,43
Agroecology and Sustainable Agriculture.,University of Arizona,0,0,3
Agronomy and Crop Science.,Cornell University,0,0,19
Agronomy and Crop Science.,Iowa State University,0,0,5
Agronomy and Crop Science.,Kansas State University,1,0.017241379310344827,58
Agronomy and Crop Science.,Louisiana State University and Agricultural & Mechanical College,0,0,19
Agronomy and Crop Science.,New Mexico State University-Main Campus,0,0,40
Agronomy and Crop Science.,North Carolina State University at Raleigh,0,0,63
Agronomy and Crop Science.,North Dakota State University-Main Campus,0,0,40
Agronomy and Crop Science.,Oklahoma State University-Main Campus,0,0,19
Agronomy and Crop Science.,Pennsylvania State University-Main Campus,0,0,6
Agronomy and Crop Science.,Purdue University-Main Campus,1,0.16666666666666666,6
Agronomy and Crop Science.,South Dakota State University,2,0.05405405405405406,37
Agronomy and Crop Science.,Texas A & M University-College Station,1,0.041666666666666664,24
Agronomy and Crop Science.,Texas Tech University,0,0,50
Agronomy and Crop Science.,University of Arkansas,0,0,33
Agronomy and Crop Science.,University of Florida,0,0,39
Agronomy and Crop Science.,University of Georgia,2,0.0625,32
Agronomy and Crop Science.,University of Illinois at Urbana-Champaign,0,0,88
Agronomy and Crop Science.,University of Kentucky,0,0,15
Agronomy and Crop Science.,University of Missouri-Columbia,0,0,2
Agronomy and Crop Science.,University of Nebraska-Lincoln,2,0.024096385542168676,83
Agronomy and Crop Science.,University of Wisconsin-Madison,0,0,6
Agronomy and Crop Science.,University of Wyoming,0,0,13
Agronomy and Crop Science.,Virginia Polytechnic Institute and State University,1,0.027777777777777776,36
Agronomy and Crop Science.,Washington State University,0,0,41
"Allied Health Diagnostic, Intervention, and Treatment Professions, Other.",Rocky Mountain University of Health Professions,12,0.09090909090909091,132
American  History (United States).,Brandeis University,0,0,19
American  History (United States).,George Washington University,0,0,1
American  History (United States).,Harvard University,0,0,25
American  History (United States).,Inter American University of Puerto Rico-Metro,0,0,50
"American Indian/Native American Languages, Literatures, and Linguistics.",University of Hawaii at Hilo,0,0,4
American Indian/Native American Studies.,University of Alaska Fairbanks,0,0,16
American Indian/Native American Studies.,University of Arizona,1,0.030303030303030304,33
American Indian/Native American Studies.,University of California-Davis,0,0,13
American/U.S. Law/Legal Studies/Jurisprudence.,American University,0,0,35
American/U.S. Law/Legal Studies/Jurisprudence.,Case Western Reserve University,0,0,25
American/U.S. Law/Legal Studies/Jurisprudence.,Cornell University,1,0.045454545454545456,22
American/U.S. Law/Legal Studies/Jurisprudence.,Indiana University-Bloomington,0,0,1
American/U.S. Law/Legal Studies/Jurisprudence.,Southern Methodist University,0,0,11
American/United States Studies/Civilization.,Bowling Green State University-Main Campus,6,0.0967741935483871,62
American/United States Studies/Civilization.,Brown University,2,0.05405405405405406,37
American/United States Studies/Civilization.,College of William and Mary,6,0.12,50
American/United States Studies/Civilization.,George Washington University,5,0.15625,32
American/United States Studies/Civilization.,Harvard University,0,0,16
American/United States Studies/Civilization.,Indiana University-Bloomington,2,0.11764705882352941,17
American/United States Studies/Civilization.,Michigan State University,4,0.13793103448275862,29
American/United States Studies/Civilization.,New York University,9,0.23684210526315788,38
American/United States Studies/Civilization.,Pennsylvania State University-Penn State Harrisburg,0,0,18
American/United States Studies/Civilization.,Purdue University-Main Campus,11,0.44,25
American/United States Studies/Civilization.,Rutgers University-Newark,2,0.125,16
American/United States Studies/Civilization.,Saint Louis University,3,0.13636363636363635,22
American/United States Studies/Civilization.,The University of Texas at Austin,2,0.043478260869565216,46
American/United States Studies/Civilization.,University at Buffalo,2,0.044444444444444446,45
American/United States Studies/Civilization.,University of Hawaii at Manoa,0,0,26
American/United States Studies/Civilization.,University of Iowa,3,0.09375,32
American/United States Studies/Civilization.,University of Kansas,2,0.07692307692307693,26
American/United States Studies/Civilization.,University of Maryland-College Park,14,0.3111111111111111,45
American/United States Studies/Civilization.,University of Michigan-Ann Arbor,7,0.12727272727272726,55
American/United States Studies/Civilization.,University of Minnesota-Twin Cities,2,0.045454545454545456,44
American/United States Studies/Civilization.,University of New Mexico-Main Campus,2,0.06060606060606061,33
American/United States Studies/Civilization.,University of North Carolina at Chapel Hill,1,0.16666666666666666,6
American/United States Studies/Civilization.,University of Southern California,9,0.15789473684210525,57
American/United States Studies/Civilization.,Washington State University,4,0.16,25
American/United States Studies/Civilization.,Yale University,5,0.10204081632653061,49
Analytical Chemistry.,Iowa State University,0,0,44
Anatomy.,Boston University,1,0.02702702702702703,37
Anatomy.,Case Western Reserve University,1,0.3333333333333333,3
Anatomy.,Columbia University in the City of New York,0,0,3
Anatomy.,Duke University,0,0,2
Anatomy.,Howard University,4,0.5714285714285714,7
Anatomy.,Johns Hopkins University,0,0,14
Anatomy.,Kent State University at Kent,0,0,3
Anatomy.,Loma Linda University,1,0.1111111111111111,9
Anatomy.,Louisiana State University Health Sciences Center-New Orleans,1,0.125,8
Anatomy.,Louisiana State University Health Sciences Center-Shreveport,1,0.07692307692307693,13
Anatomy.,Ohio State University-Main Campus,0,0,10
Anatomy.,Pennsylvania State University-College of Medicine,0,0,15
Anatomy.,Rush University,0,0,7
Anatomy.,Saint Louis University,0,0,4
Anatomy.,Stony Brook University,0,0,8
Anatomy.,Temple University,1,0.2,5
Anatomy.,University at Buffalo,0,0,6
Anatomy.,University of Arkansas for Medical Sciences,2,0.125,16
Anatomy.,University of California-Irvine,1,0.0196078431372549,51
Anatomy.,University of Chicago,0,0,18
Anatomy.,University of Kentucky,0,0,19
Anatomy.,University of Louisville,0,0,35
Anatomy.,University of Mississippi,0,0,5
Anatomy.,University of North Dakota,0,0,6
Anatomy.,University of Puerto Rico-Medical Sciences,0,0,17
Anatomy.,University of Utah,1,0.037037037037037035,27
Anatomy.,Upstate Medical University,0,0,24
Anatomy.,Virginia Commonwealth University,0,0,5
Anatomy.,Wayne State University,0,0,14
Anatomy.,NA,0,0,2
"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Catholic University of America,0,0,4
"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",Dallas Theological Seminary,2,0.05714285714285714,35
"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",University of Chicago,0,0,6
Ancient Studies/Civilization.,Boston University,0,0,13
Ancient Studies/Civilization.,Brown University,0,0,4
Ancient Studies/Civilization.,Harvard University,0,0,5
Ancient Studies/Civilization.,New York University,0,0,7
Ancient Studies/Civilization.,University of Michigan-Ann Arbor,0,0,24
Ancient/Classical Greek Language and Literature.,Harvard University,0,0,2
Ancient/Classical Greek Language and Literature.,The University of America,1,0.25,4
Animal Behavior and Ethology.,Arizona State University-Tempe,0,0,3
Animal Behavior and Ethology.,University of California-Davis,1,0.02702702702702703,37
Animal Genetics.,Clemson University,0,0,26
Animal Genetics.,Cornell University,0,0,63
Animal Genetics.,Duke University,0,0,34
Animal Genetics.,Johns Hopkins University,5,0.06756756756756757,74
Animal Genetics.,Stony Brook University,2,0.03278688524590164,61
Animal Genetics.,Tufts University,0,0,20
Animal Genetics.,Tulane University of Louisiana,0,0,1
Animal Genetics.,Washington State University,0,0,7
Animal Nutrition.,Iowa State University,0,0,1
Animal Nutrition.,Oklahoma State University-Main Campus,0,0,20
Animal Nutrition.,University of Georgia,0,0,2
Animal Physiology.,Baylor College of Medicine,1,0.08333333333333333,12
Animal Physiology.,Clemson University,0,0,14
Animal Physiology.,Colorado State University-Fort Collins,0,0,27
Animal Physiology.,Cornell University,0,0,20
Animal Physiology.,Duke University,1,0.1,10
Animal Physiology.,Iowa State University,0,0,4
Animal Physiology.,Kent State University at Kent,1,0.1111111111111111,9
Animal Physiology.,Medical University of South Carolina,1,0.03225806451612903,31
Animal Physiology.,Pennsylvania State University-College of Medicine,0,0,13
Animal Physiology.,Pennsylvania State University-Main Campus,2,0.11764705882352941,17
Animal Physiology.,Stony Brook University,0,0,4
Animal Physiology.,The University of Texas Health Science Center at San Antonio,1,0.03333333333333333,30
Animal Physiology.,Thomas Jefferson University,0,0,1
Animal Physiology.,Tulane University of Louisiana,0,0,2
Animal Physiology.,University of Arkansas for Medical Sciences,1,0.3333333333333333,3
Animal Physiology.,University of Idaho,1,0.08333333333333333,12
Animal Physiology.,Upstate Medical University,0,0,1
"Animal Sciences, General.",Auburn University,1,0.04,25
"Animal Sciences, General.",Colorado State University-Fort Collins,1,0.02857142857142857,35
"Animal Sciences, General.",Cornell University,0,0,45
"Animal Sciences, General.",Iowa State University,0,0,9
"Animal Sciences, General.",Kansas State University,0,0,45
